Timestamp;fecha; AF3/theta; AF3/alpha; AF3/betaL; AF3/betaH; AF3/gamma; F7/theta; F7/alpha; F7/betaL; F7/betaH; F7/gamma; F3/theta; F3/alpha; F3/betaL; F3/betaH; F3/gamma; FC5/theta; FC5/alpha; FC5/betaL; FC5/betaH; FC5/gamma; T7/theta; T7/alpha; T7/betaL; T7/betaH; T7/gamma; P7/theta; P7/alpha; P7/betaL; P7/betaH; P7/gamma; O1/theta; O1/alpha; O1/betaL; O1/betaH; O1/gamma; O2/theta; O2/alpha; O2/betaL; O2/betaH; O2/gamma; P8/theta; P8/alpha; P8/betaL; P8/betaH; P8/gamma; T8/theta; T8/alpha; T8/betaL; T8/betaH; T8/gamma; FC6/theta; FC6/alpha; FC6/betaL; FC6/betaH; FC6/gamma; F4/theta; F4/alpha; F4/betaL; F4/betaH; F4/gamma; F8/theta; F8/alpha; F8/betaL; F8/betaH; F8/gamma; AF4/theta; AF4/alpha; AF4/betaL; AF4/betaH; AF4/gamma;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1716528570;23/05/2024;3218;2;245;0;707;0;542;0;31;0;141;5;747;1;837;0;882;0;499;0;271;1;635;0;877;0;427;0;287;0;8;1;298;0;539;0;477;0;303;0;107;0;543;0;156;0;222;0;105;0;74;1;202;0;373;0;169;0;174;0;7;1;569;0;474;0;222;0;274;0;84;1;322;0;569;0;509;0;245;0;142;1;492;0;776;1;34;0;368;0;72;2;55;0;796;0;57;0;208;0;135;2;923;1;283;0;725;0;372;0;21;2;622;1;39;0;521;0;492;0;132;5;341;1;977;0;522;0;228;0;169;2;487;1;146;0;471;0;194;0;156
1716528570;23/05/2024;4468;2;846;0;73;0;592;0;333;0;133;11;352;3;157;1;345;0;608;0;318;1;926;0;888;0;435;0;334;0;8;2;414;0;684;0;594;0;353;0;108;0;609;0;114;0;21;0;109;0;71;1;154;0;384;0;145;0;172;0;77;1;707;0;7;0;214;0;282;0;1;1;501;0;846;0;55;0;28;0;142;1;668;0;729;1;138;0;437;0;85;2;69;1;47;0;606;0;25;0;159;4;1;1;641;0;621;0;417;0;237;2;762;1;652;0;435;0;568;0;154;8;457;2;558;0;43;0;249;0;159;2;908;1;158;0;388;0;208;0;143
1716528570;23/05/2024;5718;3;572;0;729;0;718;0;364;0;127;18;45;4;784;1;984;0;731;0;376;2;282;0;857;0;478;0;395;0;88;3;828;0;848;0;734;0;414;0;115;0;666;0;94;0;196;0;114;0;7;1;106;0;422;0;117;0;166;0;85;1;909;0;95;0;186;0;266;0;116;1;714;1;123;0;57;0;312;0;141;1;871;0;738;1;155;0;504;0;99;3;401;1;31;0;622;0;301;0;182;5;164;1;972;0;52;0;463;0;265;2;803;1;814;0;371;0;638;0;189;12;423;3;239;0;372;0;294;0;15;3;178;1;12;0;361;0;241;0;135
1716528570;23/05/2024;6968;4;213;0;686;0;863;0;393;0;125;25;99;6;238;2;602;0;834;0;429;2;631;0;787;0;534;0;453;0;101;5;186;0;976;0;861;0;474;0;126;0;696;0;96;0;181;0;119;0;71;1;7;0;491;0;97;0;159;0;92;2;135;1;181;0;153;0;234;0;125;1;942;1;316;0;547;0;334;0;136;2;91;0;787;1;51;0;553;0;114;4;13;1;526;0;593;0;353;0;199;6;121;2;185;0;433;0;501;0;29;2;813;1;833;0;336;0;683;0;231;16;242;3;801;0;343;0;347;0;143;3;251;1;24;0;38;0;289;0;139
1716528570;23/05/2024;8218;4;547;0;602;0;952;0;41;0;125;29;105;7;13;2;968;0;881;0;458;2;872;0;692;0;57;0;494;0;116;6;61;1;16;0;922;0;515;0;142;0;684;0;108;0;166;0;124;0;73;1;4;0;577;0;1;0;155;0;97;2;309;1;344;0;131;0;199;0;126;2;125;1;373;0;483;0;342;0;127;2;293;0;852;0;844;0;57;0;127;4;338;1;634;0;512;0;402;0;209;6;588;2;206;0;359;0;528;0;31;2;824;1;724;0;332;0;697;0;271;18;679;4;37;0;331;0;396;0;139;3;135;0;892;0;417;0;34;0;154
1716528570;23/05/2024;9468;4;448;0;519;0;939;0;407;0;127;29;178;6;845;2;942;0;846;0;45;2;916;0;603;0;561;0;503;0;131;6;173;0;967;0;886;0;52;0;156;0;627;0;133;0;153;0;127;0;74;0;995;0;647;0;133;0;153;0;99;2;358;1;401;0;13;0;171;0;117;2;198;1;292;0;406;0;334;0;114;2;41;0;913;0;598;0;547;0;137;4;262;1;607;0;404;0;443;0;208;6;403;2;37;0;297;0;54;0;322;2;801;1;555;0;361;0;684;0;3;18;873;3;876;0;335;0;433;0;139;2;875;0;794;0;441;0;386;0;178
1716528571;23/05/2024;718;3;896;0;492;0;823;0;383;0;126;25;336;5;855;2;528;0;729;0;405;2;688;0;558;0;499;0;476;0;14;5;487;0;873;0;753;0;482;0;164;0;63;0;218;0;155;0;135;0;77;0;915;0;674;0;19;0;15;0;97;2;237;1;336;0;145;0;156;0;103;2;113;1;121;0;35;0;311;0;99;2;376;0;952;0;382;0;492;0;142;3;765;1;47;0;311;0;475;0;198;5;561;1;752;0;262;0;536;0;326;2;649;1;417;0;421;0;65;0;312;16;684;3;432;0;372;0;462;0;142;2;467;0;796;0;436;0;418;0;202
1716528571;23/05/2024;1968;3;23;0;551;0;645;0;344;0;123;18;91;4;443;1;875;0;559;0;335;2;223;0;578;0;401;0;421;0;14;4;246;0;792;0;56;0;409;0;163;1;37;0;613;0;265;0;185;0;94;0;793;0;641;0;25;0;143;0;92;1;96;1;164;0;161;0;155;0;89;1;889;0;934;0;339;0;276;0;84;2;165;0;972;0;244;0;417;0;142;2;974;1;302;0;26;0;494;0;18;4;323;1;469;0;269;0;52;0;32;2;314;1;373;0;502;0;599;0;304;12;909;2;964;0;461;0;498;0;151;1;982;0;933;0;406;0;436;0;222
1716528571;23/05/2024;3218;2;57;0;686;0;466;0;303;0;115;11;978;3;93;1;196;0;382;0;261;1;625;0;649;0;299;0;353;0;133;2;845;0;758;0;359;0;318;0;154;3;909;1;712;0;637;0;341;0;148;0;644;0;556;0;291;0;129;0;86;1;585;0;927;0;167;0;169;0;79;1;591;0;791;0;381;0;236;0;73;1;818;0;975;0;193;0;34;0;138;2;8;1;188;0;258;0;499;0;158;3;9;1;28;0;323;0;497;0;309;1;807;1;423;0;59;0;537;0;282;8;785;2;726;0;599;0;555;0;167;1;466;1;174;0;37;0;443;0;232
1716528571;23/05/2024;4468;1;25;0;846;0;337;0;269;0;104;6;309;2;142;0;666;0;237;0;197;1;65;0;735;0;227;0;289;0;118;1;656;0;766;0;197;0;232;0;141;9;14;3;727;1;356;0;641;0;253;0;498;0;451;0;301;0;11;0;82;1;201;0;694;0;164;0;192;0;78;1;324;0;727;0;458;0;209;0;67;1;445;0;966;0;206;0;285;0;132;1;304;1;185;0;284;0;492;0;137;1;941;1;222;0;417;0;472;0;296;1;256;1;515;0;68;0;469;0;252;5;476;2;825;0;761;0;639;0;186;1;13;1;437;0;348;0;447;0;232
