Timestamp;Fecha;Hora;Movimiento;AF3/theta,;AF3/alpha,;AF3/betaL,;AF3/betaH,;AF3/gamma,;F7/theta,;F7/alpha,;F7/betaL,;F7/betaH,;F7/gamma,;F3/theta,;F3/alpha,;F3/betaL,;F3/betaH,;F3/gamma,;FC5/theta,;FC5/alpha,;FC5/betaL,;FC5/betaH,;FC5/gamma,;T7/theta,;T7/alpha,;T7/betaL,;T7/betaH,;T7/gamma,;P7/theta,;P7/alpha,;P7/betaL,;P7/betaH,;P7/gamma,;O1/theta,;O1/alpha,;O1/betaL,;O1/betaH,;O1/gamma,;O2/theta,;O2/alpha,;O2/betaL,;O2/betaH,;O2/gamma,;P8/theta,;P8/alpha,;P8/betaL,;P8/betaH,;P8/gamma,;T8/theta,;T8/alpha,;T8/betaL,;T8/betaH,;T8/gamma,;FC6/theta,;FC6/alpha,;FC6/betaL,;FC6/betaH,;FC6/gamma,;F4/theta,;F4/alpha,;F4/betaL,;F4/betaH,;F4/gamma,;F8/theta,;F8/alpha,;F8/betaL,;F8/betaH,;F8/gamma,;AF4/theta,;AF4/alpha,;AF4/betaL,;AF4/betaH,;AF4/gamma
1716315242;21/05/2024;18:14:02;Izquierda;13,109,;2,531,;5,351,;3,298,;1,199,;10,086,;2,737,;6,314,;3,038,;1,212,;9,6,;1,718,;3,283,;2,214,;0,905,;8,316,;2,226,;4,862,;2,674,;1,086,;9,596,;2,565,;5,679,;2,938,;1,321,;8,694,;2,327,;5,199,;4,249,;2,394,;8,775,;1,601,;3,265,;2,877,;2,054,;7,403,;2,248,;5,49,;3,994,;1,279,;4,64,;0,838,;1,746,;1,436,;0,443,;14,508,;2,28,;6,174,;3,917,;1,449,;9,653,;1,303,;4,057,;2,307,;0,763,;11,452,;1,814,;3,944,;2,6,;1,011,;13,462,;2,261,;5,673,;2,824,;0,978,;11,897,;1,848,;3,568,;2,213,;0,904
1716315242;21/05/2024;18:14:02;Izquierda;16,969,;3,475,;5,636,;3,609,;1,273,;12,498,;3,505,;6,822,;3,283,;1,287,;12,854,;2,446,;3,506,;2,512,;0,96,;10,762,;2,932,;5,308,;2,981,;1,168,;13,053,;3,471,;6,313,;3,14,;1,419,;12,087,;2,761,;5,386,;5,304,;2,483,;11,537,;2,212,;3,716,;3,38,;2,087,;10,323,;2,832,;6,16,;4,633,;1,223,;6,165,;1,005,;2,011,;1,435,;0,439,;19,197,;3,06,;6,566,;4,304,;1,366,;12,589,;1,72,;4,474,;2,516,;0,8,;14,877,;2,519,;4,277,;2,966,;1,096,;17,539,;2,785,;5,983,;3,068,;1,007,;16,432,;2,443,;3,807,;2,54,;0,951
1716315242;21/05/2024;18:14:02;Izquierda;19,962,;4,847,;5,552,;3,853,;1,362,;14,354,;4,702,;6,812,;3,472,;1,359,;15,412,;3,547,;3,488,;2,76,;1,021,;12,786,;3,999,;5,355,;3,249,;1,248,;16,024,;4,646,;6,391,;3,319,;1,502,;15,073,;3,347,;5,111,;6,081,;2,477,;13,796,;2,993,;3,884,;3,765,;2,067,;13,124,;3,789,;6,409,;5,11,;1,166,;7,575,;1,3,;2,13,;1,428,;0,438,;22,866,;4,077,;6,293,;4,657,;1,324,;15,133,;2,302,;4,521,;2,672,;0,855,;17,822,;3,522,;4,346,;3,279,;1,212,;21,357,;3,629,;5,881,;3,261,;1,051,;20,264,;3,291,;3,805,;2,81,;1,008
1716315243;21/05/2024;18:14:03;Izquierda;21,139,;6,398,;5,088,;3,847,;1,446,;14,995,;6,062,;6,226,;3,44,;1,42,;16,48,;4,861,;3,214,;2,819,;1,076,;13,756,;5,234,;4,941,;3,298,;1,319,;17,543,;5,846,;5,889,;3,293,;1,579,;16,683,;3,966,;4,497,;6,36,;2,402,;14,781,;3,785,;3,696,;3,861,;2,002,;15,056,;4,903,;6,117,;5,192,;1,12,;8,282,;1,639,;2,067,;1,376,;0,444,;24,443,;5,099,;5,468,;4,753,;1,324,;16,348,;2,915,;4,158,;2,66,;0,924,;19,371,;4,678,;4,107,;3,386,;1,336,;23,303,;4,514,;5,315,;3,263,;1,098,;22,142,;4,247,;3,525,;2,89,;1,066
1716315243;21/05/2024;18:14:03;Izquierda;20,142,;7,858,;4,377,;3,505,;1,507,;14,244,;7,249,;5,226,;3,118,;1,463,;15,816,;6,167,;2,776,;2,623,;1,106,;13,386,;6,396,;4,19,;3,037,;1,374,;17,125,;6,808,;4,992,;2,976,;1,661,;16,467,;4,471,;3,757,;6,099,;2,306,;14,234,;4,423,;3,234,;3,615,;1,914,;15,648,;5,895,;5,38,;4,775,;1,098,;8,029,;1,925,;1,854,;1,26,;0,461,;23,442,;5,928,;4,471,;4,453,;1,355,;15,704,;3,453,;3,5,;2,421,;0,995,;19,001,;5,8,;3,632,;3,195,;1,44,;22,489,;5,289,;4,442,;2,996,;1,14,;21,409,;5,196,;3,053,;2,705,;1,113
1716315243;21/05/2024;18:14:03;Izquierda;17,344,;8,983,;3,586,;2,896,;1,529,;12,162,;7,979,;4,06,;2,574,;1,487,;13,757,;7,222,;2,289,;2,212,;1,101,;11,728,;7,252,;3,295,;2,521,;1,404,;14,978,;7,314,;3,943,;2,426,;1,741,;14,589,;4,738,;3,062,;5,44,;2,233,;12,411,;4,785,;2,64,;3,114,;1,833,;14,817,;6,518,;4,397,;3,939,;1,112,;6,954,;2,074,;1,569,;1,089,;0,486,;20,155,;6,411,;3,729,;3,785,;1,397,;13,436,;3,807,;2,752,;1,994,;1,054,;16,791,;6,672,;3,037,;2,731,;1,493,;19,302,;5,818,;3,51,;2,489,;1,17,;18,403,;5,997,;2,521,;2,278,;1,139
1716315243;21/05/2024;18:14:03;Izquierda;13,656,;9,635,;2,859,;2,189,;1,509,;9,409,;8,135,;2,994,;1,96,;1,492,;11,051,;7,856,;1,854,;1,701,;1,06,;9,336,;7,669,;2,457,;1,898,;1,407,;11,83,;7,294,;2,966,;1,791,;1,8,;11,744,;4,735,;2,541,;4,622,;2,22,;9,913,;4,83,;2,069,;2,519,;1,788,;12,902,;6,647,;3,4,;2,909,;1,163,;5,347,;2,054,;1,299,;0,896,;0,515,;15,505,;6,487,;3,531,;2,914,;1,429,;10,193,;3,908,;2,103,;1,478,;1,088,;13,413,;7,11,;2,442,;2,109,;1,48,;14,59,;6,012,;2,725,;1,858,;1,186,;14,099,;6,516,;2,04,;1,716,;1,139
1716315243;21/05/2024;18:14:03;Izquierda;10,191,;9,755,;2,296,;1,575,;1,468,;6,747,;7,747,;2,224,;1,439,;1,496,;8,544,;7,98,;1,537,;1,232,;1,006,;6,951,;7,612,;1,832,;1,343,;1,403,;8,764,;6,813,;2,219,;1,245,;1,822,;8,89,;4,51,;2,255,;3,868,;2,3,;7,486,;4,589,;1,634,;1,991,;1,81,;10,509,;6,289,;2,597,;1,952,;1,25,;3,711,;1,884,;1,113,;0,719,;0,547,;10,791,;6,185,;3,941,;2,069,;1,453,;6,968,;3,749,;1,675,;1,001,;1,102,;9,853,;7,043,;1,945,;1,495,;1,416,;9,853,;5,858,;2,215,;1,259,;1,2,;9,806,;6,642,;1,692,;1,168,;1,126
1716315243;21/05/2024;18:14:03;Izquierda;7,699,;9,342,;1,915,;1,189,;1,444,;4,819,;6,933,;1,79,;1,116,;1,522,;6,739,;7,592,;1,339,;0,912,;0,972,;5,162,;7,113,;1,464,;0,977,;1,424,;6,567,;6,018,;1,74,;0,914,;1,81,;6,773,;4,14,;2,195,;3,3,;2,498,;5,67,;4,131,;1,375,;1,64,;1,909,;8,236,;5,566,;2,063,;1,276,;1,376,;2,415,;1,615,;1,024,;0,592,;0,591,;7,056,;5,57,;4,733,;1,431,;1,497,;4,531,;3,37,;1,469,;0,676,;1,121,;6,853,;6,502,;1,579,;1,041,;1,346,;6,193,;5,388,;1,961,;0,829,;1,245,;6,491,;6,33,;1,495,;0,769,;1,123
1716315243;21/05/2024;18:14:03;Izquierda;6,349,;8,452,;1,682,;1,059,;1,483,;3,821,;5,857,;1,619,;1,004,;1,596,;5,679,;6,77,;1,224,;0,771,;0,996,;4,196,;6,258,;1,308,;0,832,;1,509,;5,588,;5,075,;1,474,;0,837,;1,791,;5,68,;3,706,;2,309,;2,919,;2,815,;4,672,;3,545,;1,265,;1,49,;2,074,;6,524,;4,668,;1,752,;0,955,;1,545,;1,666,;1,314,;1,002,;0,533,;0,66,;4,838,;4,754,;5,528,;1,079,;1,61,;3,271,;2,858,;1,412,;0,548,;1,177,;4,866,;5,622,;1,335,;0,821,;1,326,;4,273,;4,694,;1,859,;0,636,;1,363,;4,523,;5,626,;1,417,;0,589,;1,163
1716315243;21/05/2024;18:14:03;Izquierda;5,74,;7,184,;1,548,;1,121,;1,608,;3,551,;4,669,;1,593,;1,043,;1,726,;5,017,;5,652,;1,148,;0,775,;1,096,;3,847,;5,162,;1,279,;0,86,;1,672,;5,447,;4,093,;1,334,;0,967,;1,801,;5,363,;3,264,;2,502,;2,646,;3,206,;4,272,;2,894,;1,251,;1,495,;2,266,;5,443,;3,761,;1,571,;0,928,;1,752,;1,385,;1,03,;0,996,;0,529,;0,756,;3,979,;3,843,;5,975,;0,984,;1,823,;2,994,;2,308,;1,42,;0,595,;1,289,;3,827,;4,593,;1,179,;0,811,;1,391,;3,825,;3,878,;1,791,;0,662,;1,572,;3,604,;4,659,;1,408,;0,611,;1,259
1716315244;21/05/2024;18:14:04;Izquierda;5,401,;5,712,;1,468,;1,269,;1,803,;3,635,;3,509,;1,615,;1,141,;1,895,;4,442,;4,421,;1,081,;0,851,;1,256,;3,754,;3,982,;1,295,;0,973,;1,894,;5,561,;3,16,;1,248,;1,222,;1,874,;5,356,;2,85,;2,668,;2,374,;3,578,;4,106,;2,265,;1,293,;1,56,;2,435,;4,806,;2,978,;1,457,;1,066,;1,974,;1,37,;0,79,;0,962,;0,551,;0,869,;3,945,;2,976,;5,894,;1,058,;2,126,;3,239,;1,812,;1,435,;0,742,;1,448,;3,508,;3,622,;1,075,;0,928,;1,534,;4,227,;3,058,;1,689,;0,826,;1,851,;3,256,;3,63,;1,411,;0,759,;1,399
